type,month,value,index,monthNumeric,monthName,year,fullName,timecode
Total,oct-15,658.6,9,9,Octobre,2015,Octobre 2015,1443736800000
Total,nov-15,684,10,10,Novembre,2015,Novembre 2015,1446418800000
Total,dﾎc-15,698,11,11,Décembre,2015,Décembre 2015,1449010800000
Total,janv-16,730,12,0,Janvier,2016,Janvier 2016,1451689200000
Total,fﾎvr-16,763.4,13,1,Février,2016,Février 2016,1454367600000
Total,mars-16,801.8,14,2,Mars,2016,Mars 2016,1456873200000
Total,avr-16,840,15,3,Avril,2016,Avril 2016,1459548000000
Total,mai-16,849.6,16,4,Mai,2016,Mai 2016,1462140000000
Total,juin-16,834.4,17,5,Juin,2016,Juin 2016,1464818400000
Total,juil-16,829.4,18,6,Juillet,2016,Juillet 2016,1467410400000
Total,aoﾞt-16,834.8,19,7,Août,2016,Août 2016,1470088800000
Total,sept-16,807.2,20,8,Septembre,2016,Septembre 2016,1472767200000
Total,oct-16,800.6,21,9,Octobre,2016,Octobre 2016,1475359200000
Total,nov-16,778.8,22,10,Novembre,2016,Novembre 2016,1478041200000
Total,dﾎc-16,770.8,23,11,Décembre,2016,Décembre 2016,1480633200000
Total,janv-17,744,24,0,Janvier,2017,Janvier 2017,1483311600000
Total,fﾎvr-17,748.8,25,1,Février,2017,Février 2017,1485990000000
Total,mars-17,757.8,26,2,Mars,2017,Mars 2017,1488409200000
Total,avr-17,779.8,27,3,Avril,2017,Avril 2017,1491084000000
Total,mai-17,776.4,28,4,Mai,2017,Mai 2017,1493676000000
Total,juin-17,773,29,5,Juin,2017,Juin 2017,1496354400000
Total,juil-17,778.8,30,6,Juillet,2017,Juillet 2017,1498946400000
Total,aoﾞt-17,806.8,31,7,Août,2017,Août 2017,1501624800000
Total,sept-17,837.2,32,8,Septembre,2017,Septembre 2017,1504303200000
Total,oct-17,842.2,33,9,Octobre,2017,Octobre 2017,1506895200000
Total,nov-17,873.8,34,10,Novembre,2017,Novembre 2017,1509577200000
Total,dﾎc-17,878.2,35,11,Décembre,2017,Décembre 2017,1512169200000
Total,janv-18,888.8,36,0,Janvier,2018,Janvier 2018,1514847600000
Total,fﾎvr-18,897.2,37,1,Février,2018,Février 2018,1517526000000
Total,mars-18,936.2,38,2,Mars,2018,Mars 2018,1519945200000
Total,avr-18,933.6,39,3,Avril,2018,Avril 2018,1522620000000
Total,mai-18,923.8,40,4,Mai,2018,Mai 2018,1525212000000
Total,juin-18,905.6,41,5,Juin,2018,Juin 2018,1527890400000
Total,juil-18,907.8,42,6,Juillet,2018,Juillet 2018,1530482400000
Total,aoﾞt-18,916.8,43,7,Août,2018,Août 2018,1533160800000
Total,sept-18,931.4,44,8,Septembre,2018,Septembre 2018,1535839200000
Total,oct-18,937.2,45,9,Octobre,2018,Octobre 2018,1538431200000
Total,nov-18,961.6,46,10,Novembre,2018,Novembre 2018,1541113200000
Total,dﾎc-18,959.4,47,11,Décembre,2018,Décembre 2018,1543705200000
Total,janv-19,943.8,48,0,Janvier,2019,Janvier 2019,1546383600000
Total,fﾎvr-19,946.2,49,1,Février,2019,Février 2019,1549062000000
Total,mars-19,972.2,50,2,Mars,2019,Mars 2019,1551481200000
Total,avr-19,951.6,51,3,Avril,2019,Avril 2019,1554156000000
Total,mai-19,944.2,52,4,Mai,2019,Mai 2019,1556748000000
Total,juin-19,951.8,53,5,Juin,2019,Juin 2019,1559426400000
Total,juil-19,940.8,54,6,Juillet,2019,Juillet 2019,1562018400000
Total,aoﾞt-19,941.2,55,7,Août,2019,Août 2019,1564696800000
Total,sept-19,952.4,56,8,Septembre,2019,Septembre 2019,1567375200000
Total,oct-19,937.4,57,9,Octobre,2019,Octobre 2019,1569967200000
Total,nov-19,933.25,58,10,Novembre,2019,Novembre 2019,1572649200000
Total,dﾎc-19,926.6666667,59,11,Décembre,2019,Décembre 2019,1575241200000
