entity,robots,algorithms,XXX,frequency,algo_robot
the coming months,"0.2825780175","0.7174219825","0.4348439651",20,algo
the last two years,"0.2825780175","0.7174219825","0.4348439651",10,algo
these days,"0.2769021408","0.7230978592","0.4461957184",28,algo
the next day,"0.268803344","0.731196656","0.4623933119",7,algo
just this month,"0.2345089169","0.7654910831","0.5309821662",4,algo
that year,"0.2345089169","0.7654910831","0.5309821662",4,algo
the start of this year,"0.2345089169","0.7654910831","0.5309821662",4,algo
the past five years,"0.2161263816","0.7838736184","0.5677472369",13,algo
the past week,"0.1868353251","0.8131646749","0.6263293498",5,algo
a year ago,"0.1552702537","0.8447297463","0.6894594925",7,algo
just last week,"0.1552702537","0.8447297463","0.6894594925",6,algo
the coming weeks,"0.1091634479","0.8908365521","0.7816731042",17,algo
recent weeks,"0.07113933563","0.9288606644","0.8577213287",13,algo
a few weeks ago,0,1,1,5,algo
just a month,0,1,1,3,algo
recent days,0,1,1,5,algo
six months ago,0,1,1,5,algo
the end of last year,0,1,1,6,algo
the following two years,0,1,1,8,algo
the next few weeks,0,1,1,4,algo
this day,0,1,1,8,algo
